Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Are you male or female?,How old are you?,Are you?,,How would you describe your role?,,What would make you feel happier at work?,,,,,,"In the last month, how often have you felt...",,,,,,"In the last month, has anything happened to make you feel more positive about your working life? ",," In the last month, has anything happened to make you feel less positive about your working life?",,How do you think Brexit will affect your current employment?,
6705754265,169394296,02/20/2018 08:11:19 AM,02/20/2018 08:13:27 AM,82.20.165.205,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,,,,Rarely / Not very often,Quite often,Sometimes,Sometimes,Almost Never,Quite often,No,,Yes,Cutting hours   New contracts,I don't know,
6705754191,169394296,02/20/2018 08:11:22 AM,02/20/2018 08:13:49 AM,86.143.170.122,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,,More recognition from management and colleagues,,,Quite often,Quite often,Quite often,Most of the time,Most of the time,Quite often,Yes,Seeing the difference I am making to the students I work with.  Great Ofsted report.,Yes,Upset at how my manager speaks to me and controls me.,I don't know,
6705753284,169394296,02/20/2018 08:10:15 AM,02/20/2018 08:12:02 AM,213.205.253.158,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",,,,,Quite often,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,No,,No,,Not at all,
6705753162,169394296,02/20/2018 08:10:14 AM,02/20/2018 08:11:33 AM,46.208.103.234,,,,,Female,30 - 49,Employed,,Team Leader / Manager,,,,,More recognition from management and colleagues,,,Almost Never,Rarely / Not very often,Rarely / Not very often,Sometimes,Rarely / Not very often,Most of the time,No,,No,,I don't know,
6705751921,169394296,02/20/2018 08:09:00 AM,02/20/2018 08:11:01 AM,109.152.116.47,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",,More recognition from management and colleagues,,,Quite often,Most of the time,Most of the time,Most of the time,Quite often,Most of the time,Yes,More responsibility,No,,Not at all,
6705749935,169394296,02/20/2018 08:07:02 AM,02/20/2018 08:08:57 AM,2.29.31.239,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,,More money,,,,Rarely / Not very often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Yes,Started a new job,No,,Not at all,
6705749926,169394296,02/20/2018 08:07:06 AM,02/20/2018 08:09:13 AM,90.219.136.52,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,,,,Almost Never,Rarely / Not very often,Rarely / Not very often,Sometimes,Sometimes,Sometimes,No,,Yes,No pay rise in over 5yrs (nhs) more pressure less resources,In a negative way,
6705749565,169394296,02/20/2018 08:06:43 AM,02/20/2018 08:09:06 AM,92.20.118.109,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,,More recognition from management and colleagues,,,Rarely / Not very often,Quite often,Sometimes,Quite often,Quite often,Quite often,Yes,My workload isn't as heavy as it was before Christmas,No,,I don't know,
6705743490,169394296,02/20/2018 08:00:11 AM,02/20/2018 08:01:54 AM,94.8.220.224,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,More recognition from management and colleagues,,,Sometimes,Quite often,Quite often,Most of the time,Most of the time,Quite often,Yes,Pay rise,Yes,Not recognised for my role in a big project.,In a negative way,
6705741652,169394296,02/20/2018 07:58:13 AM,02/20/2018 07:59:56 AM,94.4.204.117,,,,,Female,18 - 29,Employed,,Team Leader / Manager,,,,More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Almost Never,Sometimes,Sometimes,Rarely / Not very often,Rarely / Not very often,Most of the time,No,,Yes,Increased workload for an already overworked team,I don't know,
6705740896,169394296,02/20/2018 07:57:05 AM,02/20/2018 07:59:26 AM,94.0.161.1,,,,,Female,30 - 49,Employed,,Senior Manager / Department Head,,,,,,,More flexibility ,Quite often,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,No,,No,,I don't know,
6705740293,169394296,02/20/2018 07:56:24 AM,02/20/2018 07:56:47 AM,90.214.254.165,,,,,Female,18 - 29,Other,Student ,,,,,,,,,,,,,,,,,,,,
6705739662,169394296,02/20/2018 07:55:54 AM,02/20/2018 07:57:20 AM,82.30.117.72,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",,,,,Quite often,Most of the time,Most of the time,Most of the time,Most of the time,Quite often,No,,No,,In a negative way,
6705736545,169394296,02/20/2018 07:52:19 AM,02/20/2018 07:53:38 AM,86.28.188.220,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,,More recognition from management and colleagues,,,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Sometimes,Rarely / Not very often,Sometimes,No,,No,,In a negative way,
6705734526,169394296,02/20/2018 07:50:09 AM,02/20/2018 07:50:29 AM,82.3.70.94,,,,,Female,18 - 29,Employed,,,,,,,,,,,,,,,,,,,,,
6705730334,169394296,02/20/2018 07:45:31 AM,02/20/2018 07:48:17 AM,192.76.8.95,,,,,Female,18 - 29,Other,Student ,Other (please specify),Student ,,"Longer term benefits like life insurance, health insurance and hospital plans",,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Sometimes,Sometimes,Quite often,Quite often,Rarely / Not very often,Quite often,Yes,I have an offer to study medicine so I'm happy my degree has/will get me into med school. ,Yes,Dissertation deadlines ,In a negative way,
6705728764,169394296,02/20/2018 07:43:44 AM,02/20/2018 07:46:54 AM,92.18.4.48,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,More recognition from management and colleagues,,,Almost Never,Rarely / Not very often,Sometimes,Sometimes,Most of the time,Sometimes,No,,Yes,Lack of support from senior management. ,Other (please specify),I teach MFL and both students and parents don't see a point in learning a language any more.
6705725078,169394296,02/20/2018 07:39:23 AM,02/20/2018 07:41:53 AM,188.220.47.52,,,,,Female,30 - 49,Self-Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,,,Less pressure ,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Yes,Thanks from patients ,No,,Not at all,
6705724028,169394296,02/20/2018 07:38:00 AM,02/20/2018 07:42:18 AM,90.201.138.230,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",Pension,Quite often,Most of the time,Sometimes,Quite often,Sometimes,Sometimes,Yes,My colleague complimeted me on my haircut,Yes,My boss making hurtful comments every day,I don't know,
6705723637,169394296,02/20/2018 07:38:01 AM,02/20/2018 07:39:24 AM,86.167.75.31,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",,,,,Rarely / Not very often,Most of the time,Quite often,Sometimes,Sometimes,Quite often,No,,No,,I don't know,
6705722184,169394296,02/20/2018 07:36:19 AM,02/20/2018 07:38:44 AM,88.111.126.124,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,,,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Rarely / Not very often,Sometimes,Quite often,Quite often,Sometimes,Quite often,No,,No,,I don't know,
6705722029,169394296,02/20/2018 07:36:09 AM,02/20/2018 07:38:58 AM,213.205.253.64,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,,,Almost Never,Almost Never,Almost Never,Sometimes,Sometimes,Rarely / Not very often,No,,Yes,"The opinion of a few individuals listened to and taken as truth when these people are the ones who arent team players, selfish individuals who will step on anyone to progress at work. ",I don't know,
6705721161,169394296,02/20/2018 07:35:13 AM,02/20/2018 07:37:32 AM,92.233.240.233,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",Support for training,Almost Never,Almost Never,Almost Never,Rarely / Not very often,Rarely / Not very often,Almost Never,No,,Yes,Bullying and victimisation because of my hearing loss,I don't know,
6705720691,169394296,02/20/2018 07:34:38 AM,02/20/2018 07:36:06 AM,90.213.208.130,,,,,Female,18 - 29,Employed,,Team Leader / Manager,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,No,,No,,Not at all,
6705720392,169394296,02/20/2018 07:34:16 AM,02/20/2018 07:36:42 AM,188.29.164.131,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,,,,more training. ie to be better at my job ,Quite often,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Yes,colleague and client feedback ,Yes,a row about a parking ticket. and silly office politics ,Not at all,
6705712427,169394296,02/20/2018 07:24:43 AM,02/20/2018 07:26:43 AM,2.121.45.15,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Rarely / Not very often,Sometimes,Almost Never,Sometimes,Rarely / Not very often,Sometimes,No,,No,,In a negative way,
6705711682,169394296,02/20/2018 07:23:28 AM,02/20/2018 07:27:07 AM,213.205.198.90,,,,,Female,30 - 49,Other,Temporarily Employed,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,,,Permanent job.,Quite often,Quite often,Quite often,Sometimes,Most of the time,Quite often,No,,Yes,I have been a qualified teacher since 2014 and have yet to find a permanent job. I asked my boss when I would know if I'm getting another contract and he shrugged. ,In a negative way,
6705707961,169394296,02/20/2018 07:19:38 AM,02/20/2018 07:21:18 AM,86.2.100.194,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,,,Better shift pattern,Almost Never,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Sometimes,Most of the time,No,,No,,Not at all,
6705706801,169394296,02/20/2018 07:18:15 AM,02/20/2018 07:18:32 AM,86.180.254.210,,,,,Female,18 - 29,Other,Student ,,,,,,,,,,,,,,,,,,,,
6705704012,169394296,02/20/2018 07:14:58 AM,02/20/2018 07:18:10 AM,151.227.163.251,,,,,Male,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",,,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Rarely / Not very often,Quite often,Quite often,Rarely / Not very often,Quite often,Sometimes,Yes,Support from colleagues and management,Yes,Complaint and bad feedback on quality issues ,In a negative way,
6705700229,169394296,02/20/2018 07:10:35 AM,02/20/2018 07:11:58 AM,86.22.225.169,,,,,Female,18 - 29,Employed,,Senior Manager / Department Head,,,,More money,,,,Quite often,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Yes,,Yes,,In a negative way,
6705698729,169394296,02/20/2018 07:08:50 AM,02/20/2018 07:09:03 AM,146.90.162.80,,,,,Female,30 - 49,Self-Employed,,,,,,,,,,,,,,,,,,,,,
6705698448,169394296,02/20/2018 07:08:27 AM,02/20/2018 07:11:13 AM,86.185.204.53,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,More recognition from management and colleagues,,,Most of the time,Most of the time,Quite often,Sometimes,Rarely / Not very often,Sometimes,Yes,"Applied for an alternative and realised mine is the best fit for my life, I like my colleagues and the science I work on. UI",No,,In a negative way,
6705695076,169394296,02/20/2018 07:04:46 AM,02/20/2018 07:09:06 AM,86.8.14.98,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,,More money,,,,Rarely / Not very often,Sometimes,Rarely / Not very often,Sometimes,Sometimes,Sometimes,No,,No,,I don't know,
6705692797,169394296,02/20/2018 07:02:09 AM,02/20/2018 07:06:48 AM,91.125.9.105,,,,,Female,30 - 49,Employed,,Team Leader / Manager,,,,,,,More accountability for staff members that do not follow process and create toxic working environments. Staff that do not pull their weight yo be identified other than my their nepotistic manager who fails to curb this damaging behaviour.,Quite often,Sometimes,Quite often,Quite often,Quite often,Quite often,No,,Yes,See previous answer,I don't know,
6705689376,169394296,02/20/2018 06:58:03 AM,02/20/2018 06:59:40 AM,151.224.246.210,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,,,"Working from home, part time hours",Almost Never,Sometimes,Rarely / Not very often,Most of the time,Sometimes,Quite often,Yes,Praise from manager,Yes,No time for anything else,In a negative way,
6705685304,169394296,02/20/2018 06:53:32 AM,02/20/2018 06:55:37 AM,92.239.71.61,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,,More recognition from management and colleagues,,A more stable environment to work in. ,Rarely / Not very often,Sometimes,Sometimes,Sometimes,Sometimes,Almost Never,No,,Yes,Redundancies and massive restructuring. ,In a negative way,
6705683912,169394296,02/20/2018 06:51:47 AM,02/20/2018 06:52:13 AM,94.197.120.123,,,,,Female,30 - 49,Employed,,,,,,,,,,,,,,,,,,,,,
6705683330,169394296,02/20/2018 06:50:58 AM,02/20/2018 06:51:34 AM,86.184.78.211,,,,,Female,30 - 49,Employed,,,,,,,,,,,,,,,,,,,,,
6705679291,169394296,02/20/2018 06:46:42 AM,02/20/2018 06:48:35 AM,94.197.120.29,,,,,Female,18 - 29,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",,,,,Quite often,Quite often,Most of the time,Most of the time,Quite often,Most of the time,No,,No,,I don't know,
6705676761,169394296,02/20/2018 06:43:41 AM,02/20/2018 06:45:22 AM,78.148.227.101,,,,,Male,18 - 29,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Rarely / Not very often,Sometimes,Sometimes,Rarely / Not very often,Sometimes,Sometimes,No,,No,,Not at all,
6705670903,169394296,02/20/2018 06:31:07 AM,02/20/2018 06:37:23 AM,94.3.168.36,,,,,Female,18 - 29,Other,Unemployed due to long term illness,,,,,,,,,,,,,,,,,,,,
6705668967,169394296,02/20/2018 06:34:33 AM,02/20/2018 06:38:41 AM,109.146.254.139,,,,,Female,30 - 49,Employed,,Team Leader / Manager,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,Free tea and coffee,Quite often,Quite often,Quite often,Quite often,Most of the time,Quite often,Yes,Promotion ,Yes,Lack of training,Not at all,
6705662206,169394296,02/20/2018 06:27:08 AM,02/20/2018 06:28:38 AM,90.209.249.245,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,,,,Sometimes,Quite often,Most of the time,Most of the time,Most of the time,Most of the time,No,,No,,Not at all,
6705658676,169394296,02/20/2018 06:22:05 AM,02/20/2018 06:24:29 AM,82.8.27.144,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,,,,Rarely / Not very often,Sometimes,Sometimes,Quite often,Quite often,Quite often,No,,No,,I don't know,
6705658437,169394296,02/20/2018 06:22:57 AM,02/20/2018 06:24:30 AM,185.69.145.87,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,,,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,No,,No,,I don't know,
6705655121,169394296,02/20/2018 06:19:03 AM,02/20/2018 06:21:47 AM,94.9.110.158,,,,,Female,18 - 29,Employed,,Team Leader / Manager,,,,,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,No,,No,,I don't know,
6705647643,169394296,02/20/2018 06:10:11 AM,02/20/2018 06:11:46 AM,81.96.82.98,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,,,,Almost Never,Sometimes,Rarely / Not very often,Sometimes,Sometimes,Rarely / Not very often,No,,No,,I don't know,
6705643034,169394296,02/20/2018 06:04:52 AM,02/20/2018 06:06:12 AM,185.69.145.18,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,,,Almost Never,Sometimes,Almost Never,Quite often,Rarely / Not very often,Most of the time,No,,No,,In a negative way,
6705632134,169394296,02/20/2018 05:51:38 AM,02/20/2018 05:55:19 AM,90.253.164.254,,,,,Male,30 - 49,Employed,,Team Leader / Manager,,,,More money,,,,Rarely / Not very often,Sometimes,Sometimes,Most of the time,Rarely / Not very often,Rarely / Not very often,No,,Yes,,In a negative way,
6705624447,169394296,02/20/2018 05:43:27 AM,02/20/2018 05:43:38 AM,77.98.112.148,,,,,Female,18 - 29,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6705624179,169394296,02/20/2018 05:43:01 AM,02/20/2018 05:44:57 AM,176.27.89.143,,,,,Male,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,,,,Sometimes,Most of the time,Quite often,Quite often,Quite often,Sometimes,No,,No,,I don't know,
6705622054,169394296,02/20/2018 05:40:44 AM,02/20/2018 05:42:24 AM,82.9.19.64,,,,,Female,30 - 49,Employed,,Senior Manager / Department Head,,,"Longer term benefits like life insurance, health insurance and hospital plans",,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,No,,No,,I don't know,
6705616991,169394296,02/20/2018 05:34:53 AM,02/20/2018 05:35:54 AM,81.106.125.101,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,,,Sometimes,Most of the time,Quite often,Quite often,Sometimes,Quite often,Yes,,No,,I don't know,
6705609181,169394296,02/20/2018 05:26:01 AM,02/20/2018 05:28:11 AM,176.253.98.37,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,,,Adequate staffing,Rarely / Not very often,Rarely / Not very often,Sometimes,Sometimes,Quite often,Sometimes,No,,No,,Not at all,
6705606259,169394296,02/20/2018 05:22:54 AM,02/20/2018 05:23:08 AM,160.5.65.238,,,,,Female,18 - 29,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6705604930,169394296,02/20/2018 05:21:33 AM,02/20/2018 05:24:09 AM,86.181.93.174,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,,,More to actually do all   day,Rarely / Not very often,Quite often,Almost Never,Rarely / Not very often,Almost Never,Quite often,No,,Yes,"bosses claiming they ""can't afford"" to raise pay ",I don't know,
6705602532,169394296,02/20/2018 05:18:53 AM,02/20/2018 05:19:59 AM,86.3.36.245,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,,,,Sometimes,Most of the time,Quite often,Quite often,Quite often,Most of the time,No,,No,,I don't know,
6705601691,169394296,02/20/2018 05:17:53 AM,02/20/2018 05:20:51 AM,88.111.138.18,,,,,Female,30 - 49,Employed,,Team Leader / Manager,,,,,,,A good Pension!,Almost Never,Almost Never,Almost Never,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Yes,Got a new job,Yes,Old job cut off my email part way through a call with a customer as I'd told customers I was leaving and apparently they wanted to do that...,In a positive way,
6705591765,169394296,02/20/2018 05:07:09 AM,02/20/2018 05:10:18 AM,86.186.157.82,,,,,Female,30 - 49,Self-Employed,,Director / Company Owner,,,,,,,More personal contact with customers & employee,Quite often,Most of the time,Quite often,Sometimes,Most of the time,Quite often,Yes,I may not have to return after mat leave ,No,,Not at all,
6705590926,169394296,02/20/2018 05:05:59 AM,02/20/2018 05:07:47 AM,194.80.254.19,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Rarely / Not very often,Quite often,Most of the time,Quite often,Most of the time,Sometimes,No,,No,,Not at all,
6705588722,169394296,02/20/2018 04:56:14 AM,02/20/2018 05:04:16 AM,31.205.39.57,,,,,Female,18 - 29,Other,student,,,,,,,,,,,,,,,,,,,,
6705575966,169394296,02/20/2018 04:51:20 AM,02/20/2018 04:53:37 AM,81.111.142.94,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,,,Sometimes,Most of the time,Most of the time,Quite often,Most of the time,Quite often,Yes,Went on secondment,No,,Not at all,
6705549676,169394296,02/20/2018 04:27:01 AM,02/20/2018 04:27:12 AM,82.132.186.184,,,,,Female,30 - 49,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6705543488,169394296,02/20/2018 04:21:14 AM,02/20/2018 04:26:14 AM,213.205.253.62,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,,,"Less hours, more money, more support from employers to progress",Almost Never,Sometimes,Quite often,Most of the time,Most of the time,Most of the time,Yes,New job offer,Yes,Over burdened at work due to insufficient staff. Way too much responsibility putting my professional status at risk. Hello ,I don't know,
6705542916,169394296,02/20/2018 04:20:46 AM,02/20/2018 04:20:58 AM,80.192.229.112,,,,,Female,18 - 29,Employed,,,,,,,,,,,,,,,,,,,,,
6705541747,169394296,02/20/2018 04:19:46 AM,02/20/2018 04:21:29 AM,86.149.87.131,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",,,,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Quite often,Yes,,Yes,,Not at all,
6705529611,169394296,02/20/2018 04:08:44 AM,02/20/2018 04:09:02 AM,94.13.239.138,,,,,Female,18 - 29,Other,Student ,,,,,,,,,,,,,,,,,,,,
6705498169,169394296,02/20/2018 03:41:02 AM,02/20/2018 03:41:18 AM,188.29.164.14,,,,,Female,18 - 29,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6705497438,169394296,02/20/2018 03:39:52 AM,02/20/2018 03:43:59 AM,31.185.35.88,,,,,Female,30 - 49,Other,"Single mum, caring for elderly parent. ","Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,More recognition from management and colleagues,,To not feel guilty when I make time for myself ,Rarely / Not very often,Sometimes,Rarely / Not very often,Almost Never,Rarely / Not very often,Almost Never,No,,No,,I don't know,
6705495037,169394296,02/20/2018 03:37:56 AM,02/20/2018 03:38:32 AM,80.189.60.228,,,,,Male,30 - 49,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6705484182,169394296,02/20/2018 03:28:23 AM,02/20/2018 03:30:49 AM,92.18.234.57,,,,,Female,50+,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,More recognition from management and colleagues,,,Almost Never,Rarely / Not very often,Rarely / Not very often,Quite often,Sometimes,Sometimes,No,,No,,Not at all,
6705483989,169394296,02/20/2018 03:28:20 AM,02/20/2018 03:28:41 AM,167.98.15.147,,,,,Female,18 - 29,Other,Student ,,,,,,,,,,,,,,,,,,,,
6705472326,169394296,02/20/2018 03:18:11 AM,02/20/2018 03:18:42 AM,82.9.206.123,,,,,Male,30 - 49,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6705465785,169394296,02/20/2018 03:12:56 AM,02/20/2018 03:18:14 AM,62.64.144.131,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",,,,,Rarely / Not very often,Sometimes,Sometimes,Rarely / Not very often,Rarely / Not very often,Quite often,No,,No,,I don't know,
6705451419,169394296,02/20/2018 03:00:41 AM,02/20/2018 03:05:51 AM,81.102.135.154,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,,Rarely / Not very often,Sometimes,Sometimes,Sometimes,Rarely / Not very often,Rarely / Not very often,No,,Yes,members of the public abusing myself and others members of my team both verbally and physically when they were told they would have to join the queue at the back rather than mid way and that we could not let them in after we had closed ,In a negative way,
6705446477,169394296,02/20/2018 02:56:18 AM,02/20/2018 02:57:20 AM,86.141.192.74,,,,,Female,30 - 49,Other,I,,,,,,,,,,,,,,,,,,,,
6705432976,169394296,02/20/2018 02:46:09 AM,02/20/2018 02:46:25 AM,109.246.13.50,,,,,Female,18 - 29,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6705430774,169394296,02/20/2018 02:44:22 AM,02/20/2018 02:44:32 AM,95.151.184.84,,,,,Female,18 - 29,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6705426996,169394296,02/20/2018 02:41:12 AM,02/20/2018 02:43:01 AM,78.145.154.185,,,,,Male,30 - 49,Self-Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,,,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Yes,I've had more work,No,,Not at all,
6705426071,169394296,02/20/2018 02:40:23 AM,02/20/2018 02:42:01 AM,185.69.145.180,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,,Rarely / Not very often,Rarely / Not very often,Sometimes,Sometimes,Sometimes,Rarely / Not very often,No,,No,,I don't know,
6705418514,169394296,02/20/2018 02:34:03 AM,02/20/2018 02:37:53 AM,86.25.150.171,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,,More holiday and entitlement to sick pay. Not having to work 12 hour night shifts for £7.50 an hour. ,Almost Never,Rarely / Not very often,Quite often,Most of the time,Most of the time,Quite often,No,Although the sun setting later has been a welcome relief,No,,I don't know,
6705411569,169394296,02/20/2018 02:28:07 AM,02/20/2018 02:29:48 AM,86.186.16.170,,,,,Female,18 - 29,Other,Trainee secondary school teacher ,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Sometimes,Quite often,Most of the time,Quite often,Quite often,Sometimes,No,,No,,In a negative way,
6705409079,169394296,02/20/2018 02:26:11 AM,02/20/2018 02:27:29 AM,82.132.230.35,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,,,,Sometimes,Quite often,Quite often,Sometimes,Almost Never,Most of the time,No,,No,,In a negative way,
6705406806,169394296,02/20/2018 02:24:26 AM,02/20/2018 02:26:59 AM,176.249.154.13,,,,,Female,30 - 49,Self-Employed,,Other (please specify),Creative,,,,,,New skills,Most of the time,Most of the time,Most of the time,Most of the time,Quite often,Quite often,Yes,Feedback that I am the most efficient in my role.  That I support other people well.,No,,In a negative way,
6705404372,169394296,02/20/2018 02:22:30 AM,02/20/2018 02:23:33 AM,82.132.215.65,,,,,Male,18 - 29,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",,,,,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Quite often,No,,No,,I don't know,
